# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1646305761.001574278, 0.000000002, 0.000000008, 0.000000010, 0.000000017, 0.000000048, 0.000000148, 0.000000002, 0.000000007, 0.000000010, 0.000000017, 0.000000048, 0.000000147, 1, 1, 1, 1, 263.000000000
1646305761.751544714, 0.000000001, 0.000000002, 0.000000004, 0.000000015, 0.000000020, 0.000000067, 0.000000001, 0.000000002, 0.000000004, 0.000000015, 0.000000020, 0.000000067, 1, 1, 1, 1, 199.000000000
1646305761.876539707, 0.000000012, 0.000000034, 0.000000052, 0.000000640, 0.000000929, 0.000001184, 0.000000012, 0.000000033, 0.000000051, 0.000000623, 0.000000915, 0.000001117, 1, 1, 1, 1, 143.000000000
1646305762.151528835, 0.000000007, 0.000000018, 0.000000032, 0.000000326, 0.000000884, 0.000001430, 0.000000007, 0.000000018, 0.000000032, 0.000000325, 0.000000858, 0.000001368, 1, 1, 1, 1, 96.000000000
1646305762.451517105, 0.000000010, 0.000000036, 0.000000041, 0.000000323, 0.000001921, 0.000002380, 0.000000010, 0.000000036, 0.000000041, 0.000000322, 0.000001841, 0.000002289, 1, 1, 1, 1, 127.000000000
1646305762.751505375, 0.000000014, 0.000000070, 0.000000097, 0.000000343, 0.000003054, 0.000005783, 0.000000014, 0.000000069, 0.000000094, 0.000000339, 0.000002592, 0.000004091, 1, 1, 1, 1, 149.000000000
1646305763.076492548, 0.000000004, 0.000000011, 0.000000032, 0.000000205, 0.000000879, 0.000001129, 0.000000004, 0.000000011, 0.000000031, 0.000000193, 0.000000746, 0.000000910, 1, 1, 1, 1, 211.000000000
1646305763.751466036, 0.000000002, 0.000000004, 0.000000024, 0.000000190, 0.000000358, 0.000000664, 0.000000002, 0.000000004, 0.000000024, 0.000000189, 0.000000355, 0.000000620, 1, 1, 1, 1, 140.000000000
1646305764.101452112, 0.000000005, 0.000000010, 0.000000062, 0.000000473, 0.000000785, 0.000000974, 0.000000005, 0.000000010, 0.000000061, 0.000000466, 0.000000776, 0.000000943, 1, 1, 1, 1, 115.000000000
1646305764.851422548, 0.000000005, 0.000000009, 0.000000054, 0.000000457, 0.000000763, 0.000001101, 0.000000005, 0.000000009, 0.000000053, 0.000000446, 0.000000725, 0.000001038, 1, 1, 1, 1, 67.000000000
1646305764.976417780, 0.000000013, 0.000000028, 0.000000122, 0.000000264, 0.000000833, 0.000001244, 0.000000013, 0.000000028, 0.000000122, 0.000000262, 0.000000769, 0.000001213, 1, 1, 1, 1, 73.000000000
1646305765.151410818, 0.000000020, 0.000000034, 0.000000166, 0.000001334, 0.000002087, 0.000003081, 0.000000020, 0.000000034, 0.000000159, 0.000001214, 0.000001958, 0.000002492, 1, 1, 1, 1, 95.000000000
1646305765.651391029, 0.000000004, 0.000000008, 0.000000026, 0.000000095, 0.000000213, 0.000000320, 0.000000004, 0.000000008, 0.000000026, 0.000000094, 0.000000206, 0.000000315, 1, 1, 1, 1, 75.000000000
1646305765.901381254, 0.000000007, 0.000000013, 0.000000034, 0.000000144, 0.000000278, 0.000000443, 0.000000007, 0.000000013, 0.000000034, 0.000000144, 0.000000274, 0.000000440, 1, 1, 1, 1, 69.000000000
1646305766.401364326, 0.000000007, 0.000000016, 0.000000096, 0.000001203, 0.000001263, 0.000002208, 0.000000007, 0.000000016, 0.000000093, 0.000001143, 0.000001249, 0.000002008, 1, 1, 1, 1, 62.000000000
1646305767.201332808, 0.000000006, 0.000000013, 0.000000086, 0.000000924, 0.000001256, 0.000002098, 0.000000006, 0.000000013, 0.000000086, 0.000000914, 0.000001244, 0.000002037, 1, 1, 1, 1, 54.000000000
1646305767.701313019, 0.000000015, 0.000000034, 0.000000180, 0.000002238, 0.000002674, 0.000006086, 0.000000015, 0.000000034, 0.000000178, 0.000002190, 0.000002636, 0.000005051, 1, 1, 1, 1, 41.000000000
1646305768.051299334, 0.000000014, 0.000000035, 0.000000176, 0.000002249, 0.000002766, 0.000006135, 0.000000014, 0.000000035, 0.000000174, 0.000002226, 0.000002719, 0.000005515, 1, 1, 1, 1, 40.000000000
1646305768.301289558, 0.000000003, 0.000000012, 0.000000025, 0.000000203, 0.000000351, 0.000000591, 0.000000003, 0.000000012, 0.000000025, 0.000000202, 0.000000350, 0.000000586, 1, 1, 1, 1, 44.000000000
1646305768.551279783, 0.000000006, 0.000000035, 0.000000069, 0.000001461, 0.000002034, 0.000003147, 0.000000006, 0.000000035, 0.000000066, 0.000001346, 0.000001993, 0.000002848, 1, 1, 1, 1, 72.000000000
1646305769.151256084, 0.000000001, 0.000000003, 0.000000004, 0.000000037, 0.000000039, 0.000000083, 0.000000001, 0.000000003, 0.000000004, 0.000000037, 0.000000039, 0.000000083, 1, 1, 1, 0, 33.000000000
1646305769.201254129, 0.000000005, 0.000000020, 0.000000029, 0.000000247, 0.000000278, 0.000000399, 0.000000005, 0.000000020, 0.000000029, 0.000000246, 0.000000277, 0.000000399, 1, 1, 1, 0, 49.000000000
